title,gallery,location,filename,medium,price,description,featured,availability
Midday Crossing,Everyday Life,"Boston, MA",midday-crossing.jpg,Acrylic on Canvas,300,"Pedestrians cross a downtown Boston intersection during the middle of the day. Figures move in multiple directions as storefronts, street signs, and passing traffic frame the scene.",no,yes
Downtown Crossing No 1,Everyday Life,"Boston, MA",downtown-crossing-no-1.jpg,Acrylic on Canvas,300,Downtown Crossing with pedestrians crossing between shops and buildings. The scene captures the steady flow of foot traffic and everyday movement through the city.,no,no
Fifth Floor View,Everyday Life,"Boston, MA",fifth-floor-view.jpg,Acrylic on Canvas,300,"A city intersection viewed from above, showing cars stopped in traffic and pedestrians crossing at the corner. Buildings, sidewalks, and street markings define the structure of the scene.",no,no
Lunchtime Stroll,Everyday Life,"Boston, MA",lunchtime-stroll.jpg,Acrylic on Canvas,300,"Pedestrians walk along a downtown Boston street during the lunch hour. Tall buildings, storefronts, and signage frame the steady movement of people passing through the city.",no,yes
Northend Scene,Everyday Life,"Boston, MA",northend-scene.jpg,Acrylic on Canvas,300,"Pedestrians walk along a narrow street in Boston’s North End, passing storefronts, signs, and a busy intersection. Streetlights, traffic signals, and parked cars frame the scene as people move through the neighborhood.",no,yes
Outside Peet's,Everyday Life,"Boston, MA",outside-peets.jpg,Acrylic on Canvas,300,"People gather and pass by outside a coffee shop on a busy downtown street. Pedestrians wait at the corner while others move through the intersection, with storefronts and traffic framing the scene.",no,no
Park Street Station,Everyday Life,"Boston, MA",park-street-station.jpg,Acrylic on Canvas,300,"Passengers wait on the platform at Park Street Station in Boston, framed by columns, signage, and passing trains.",yes,yes
Pizza,Everyday Life,"Boston, MA",pizza.jpg,Acrylic on Canvas,300,"People walk past a pizza shop at a city intersection, with storefronts and street traffic defining the scene.",no,no
Rainy Day in Boston,Everyday Life,"Boston, MA",rainy-day-in-boston.jpg,Acrylic on Canvas,300,"A Boston street on a rainy day, with parked cars, pedestrians, and wet pavement reflecting the surrounding buildings.",no,no
Rainy Day in the North End,Everyday Life,"Boston, MA",rainy-day-in-the-north-end.jpg,Acrylic on Canvas,300,"A rainy day on a North End street in Boston, with wet pavement, storefronts, and passing pedestrians.",yes,yes
View Along Salem Street,Everyday Life,"Boston, MA",view-along-salem-street.jpg,Acrylic on Canvas,300,"Pedestrians move along Salem Street in Boston’s North End, with storefronts and signage defining the street.",no,no
Downtown Grey,Everyday Life,"Boston, MA",downtown-grey.jpg,Acrylic on Canvas,300,"A pedestrian moves along a downtown Boston street, with storefronts and street fixtures defining the scene.",no,yes
Spring Street,Everyday Life,"Boston, MA",spring-street.jpg,Acrylic on Canvas,300,"Pedestrians move along Spring Street, with storefronts and street activity defining the scene.",no,yes
Red Line,Everyday Life,"Boston, MA",red-line.jpg,Acrylic on Canvas,300,"Passengers wait at Park Street Station on Boston’s Red Line, framed by columns, signage, and platform seating.",no,yes
View From Charlestown,Everyday Life,"Boston, MA",view-from-charlestown.jpg,Acrylic on Canvas,300,"A Charlestown street looking toward the Boston skyline, with row houses and parked cars lining the road.",no,yes
Waiting No 1,Everyday Life,"Boston, MA",waiting-no-1.jpg,Acrylic on Canvas,300,"People wait at a city street corner near an entrance to the T, framed by storefronts and transit signage.",no,no
Waiting for the T,Everyday Life,"Boston, MA",waiting-for-the-t.jpg,Acrylic on Canvas,300,"Passengers wait at a Green Line stop in Boston, with snow, transit signage, and surrounding buildings defining the scene.",no,no
Wondering,Everyday Life,"Delaware, OH",wondering.jpg,Acrylic on Canvas,300,"A woman walks along a city sidewalk as groups of pedestrians move in the opposite direction. Storefronts, trees, and passing foot traffic frame the scene of everyday street activity.",no,yes
At the Parade,Everyday Life,"Delaware, OH",at-the-parade.jpg,Acrylic on Canvas,300,"Families move along a street in Delaware, Ohio, as spectators wait for the All Horse Parade.",no,yes
Browsing,Everyday Life,"Delaware, OH",browsing.jpg,Acrylic on Canvas,300,"Visitors browse between vendor tents at an outdoor market in Delaware, Ohio.",no,yes
Clancey's,Everyday Life,"Delaware, OH",clanceys.jpg,Acrylic on Canvas,300,"Clancey’s Pub sign viewed along a city street, framed by nearby buildings and signage.",no,yes
Dairy Depot,Everyday Life,"Delaware, OH",dairy-depot.jpg,Acrylic on Canvas,300,"Customers and pedestrians gather outside the Dairy Depot in Delaware, Ohio, awaiting a parade.",no,no
Diner,Everyday Life,"Delaware, OH",diner.jpg,Acrylic on Canvas,300,"Customers sit and eat inside the Hamburger Inn diner in Delaware, Ohio, with the counter and interior framing the scene.",yes,yes
Downtown Summer Evening,Everyday Life,"Delaware, OH",downtown-summer-evening.jpg,Acrylic on Canvas,300,"Downtown Delaware, Ohio in the evening, with vehicles, buildings, and street activity visible in summer light.",yes,yes
Crossing,Everyday Life,"Delaware, OH",crossing.jpg,Acrylic on Canvas,300,"Pedestrians cross an intersection in downtown Delaware, Ohio, framed by storefronts and surrounding buildings.",no,yes
Father and Son Conversation,Everyday Life,"Delaware, OH",father-and-son-conversation.jpg,Acrylic on Canvas,300,"A father and son pause on the steps of a building, engaged in conversation.",no,yes
Hayes,Everyday Life,"Delaware, OH",hayes.jpg,Acrylic on Canvas,300,"People walk and gather near the Hayes statue in downtown Delaware, Ohio, with surrounding buildings and outdoor seating visible.",no,yes
Looking out the Window,Everyday Life,"Delaware, OH",looking-out-the-window.jpg,Acrylic on Canvas,300,"Downtown Delaware, Ohio, seen through a storefront window, with reflections and passing pedestrians.",no,no
Street Walking,Everyday Life,"Delaware, OH",street-walking.jpg,Acrylic on Canvas,300,"People walk through downtown Delaware, Ohio, with storefronts and foot traffic defining the scene.",no,yes
Two Men Walking,Everyday Life,"Delaware, OH",two-men-walking.jpg,Acrylic on Canvas,300,"Two men walk along a sidewalk beside a brick alleyway in downtown Delaware, Ohio.",no,no
Waiting No 2,Everyday Life,"Delaware, OH",waiting-no-2.jpg,Acrylic on Canvas,300,"Three people wait on the sidewalk outside a shop, with storefront windows and street signage surrounding them.",no,no
Watching the Eclipse,Gatherings,"Delaware, OH",watching-the-eclipse.jpg,Acrylic on Canvas,300,"A seated crowd wearing eclipse glasses looks upward during a solar eclipse, with chairs and parked cars visible behind them.",no,no
Bathers at Nantasket Beach No 1,Everyday Life,"Hull, MA",bathers-at-nantasket-beach-no-1.jpg,Acrylic on Canvas,300,"Families and children gather along the shoreline at Nantasket Beach on a summer afternoon. Some wade in the shallows while others stand back, watching the water and the activity around them.",no,yes
Bathers at Nantasket Beach No 2,Everyday Life,"Hull, MA",bathers-at-nantasket-beach-no-2.jpg,Acrylic on Canvas,300,"A wide view of Nantasket Beach on a busy summer day, with beachgoers seated in chairs and tents while others move between sand and surf. The scene captures the density and casual pace of a crowded shoreline.",no,yes
Hingham Farmers Market,Everyday Life,"Hingham, MA",hingham-farmers-market.jpg,Acrylic on Canvas,300,"Shoppers move through an outdoor market in Hingham, Massachusetts. Vendor tents, food stands, and small groups of people create a busy scene of casual browsing, conversation, and everyday activity.",no,yes
At Plymouth Farmers Market,Everyday Life,"Plymouth, MA",at-plymouth-farmers-market.jpg,Acrylic on Canvas,300,"People stand in line at an outdoor farmers market in Plymouth, Massachusetts, as a vendor prepares food beneath tents and canopies.",no,yes
Dancing in the Street,Gatherings,"Provincetown, MA",dancing-in-the-street-provincetown.jpg,Acrylic on Canvas,300,"People in traditional costumes dance in the street in Provincetown, Massachusetts, as onlookers stand along the sidewalk.",no,yes
Suzette No 1,Portraits & Still Life,Location n/a,suzette-no-1.jpg,Acrylic on Canvas,300,"A woman sits at a bar holding a drink, with the bar interior behind her.",no,yes
Lobster Shack,Everyday Life,"Wiscasset, ME",lobster-shack.jpg,Acrylic on Canvas,300,"People stand and sit at picnic tables near a waterfront lobster shack in Wiscasset, Maine, with signage and umbrellas along a wooden deck.",no,yes
Man in Pink Shirt,Portraits & Still Life,Location n/a,man-in-pink-shirt.jpg,Acrylic on Canvas,300,"A man in a pink shirt stands in front of a yellow background, holding an object.",no,yes
Moshing,Gatherings,Location n/a,moshing.jpg,Acrylic on Canvas,300,"Figures with raised arms cluster together as one person is lifted above the group, creating a layered scene of movement and contact.",no,no
